# frame 	 R_gyr 	 sasa
0 26.3770 5620.3120
1000 26.6014 5664.3062
2000 26.6322 5623.2017
3000 26.5380 5614.1704
4000 26.5407 5702.5635
5000 26.7176 5655.3481
6000 26.6702 5540.3999
7000 26.7393 5755.5327
8000 26.7708 5693.5605
9000 26.9090 5668.9487
10000 27.1937 5826.5581
11000 27.0355 5712.8672
12000 27.0425 5719.7515
13000 27.0702 5762.2524
14000 26.9029 5642.5869
15000 26.8739 5683.7305
16000 26.8843 5710.0171
17000 27.0042 5741.9556
18000 27.0402 5695.5952
19000 27.0141 5580.3574
20000 26.9786 5663.3452
21000 26.7445 5662.3208
22000 26.7976 5700.8887
23000 26.5471 5649.6719
24000 26.7309 5628.1172
25000 26.6463 5695.8921
26000 26.6505 5695.9131
27000 26.7361 5787.1509
28000 26.5669 5606.1992
29000 26.5050 5617.9668
30000 26.4836 5591.8970
31000 26.4411 5508.4463
32000 26.6584 5570.8125
33000 26.5434 5513.5879
34000 26.6105 5461.2744
35000 26.7006 5631.5176
36000 26.8287 5661.6016
37000 26.8661 5694.3818
38000 26.7684 5684.3657
39000 27.0093 5741.0493
40000 26.9330 5683.0928
41000 27.0258 5664.4102
42000 26.7946 5706.4248
43000 26.9228 5683.5708
44000 27.0107 5701.6460
45000 26.9407 5672.2324
46000 27.0072 5703.3760
47000 26.8777 5656.1270
48000 26.8492 5717.1479
49000 26.8149 5728.2568
50000 26.7584 5824.4263
51000 26.8390 5736.2671
52000 26.8681 5849.1572
53000 27.0305 5825.5581
54000 26.8559 5826.9082
55000 26.9524 5733.9629
56000 26.8987 5769.8877
57000 26.7939 5772.4717
58000 26.8358 5707.5190
59000 26.7501 5684.5557
60000 26.6140 5682.7759
61000 26.5189 5727.7412
62000 26.3074 5682.8164
63000 26.2477 5690.3911
64000 26.4927 5688.3174
65000 26.5318 5647.6733
66000 26.6062 5712.8867
67000 26.6205 5739.9976
68000 26.5819 5723.6094
69000 26.6641 5740.1030
70000 26.6428 5724.7104
71000 26.5843 5689.5581
72000 26.4958 5688.4751
73000 26.6835 5766.2109
74000 26.5977 5651.6055
75000 26.4979 5732.1313
76000 26.4796 5780.4443
77000 26.6709 5897.1211
78000 26.6643 5701.5063
79000 26.6935 5824.1201
80000 26.7506 5777.5566
81000 26.8130 5839.6978
82000 26.8320 5803.7114
83000 26.7134 5757.4590
84000 26.5566 5761.6562
85000 26.6012 5702.5479
86000 26.6064 5859.7261
87000 26.6483 5710.9658
88000 26.6152 5672.4175
89000 26.5358 5739.0386
90000 26.3046 5716.2964
91000 26.0954 5730.0405
92000 25.9647 5786.9800
93000 26.1038 5769.9863
94000 26.1248 5782.0503
95000 26.3798 5800.2031
96000 26.3615 5708.0293
97000 26.4594 5726.9712
98000 26.2239 5581.4077
99000 26.1423 5533.4521
100000 26.1074 5701.3560
101000 26.2168 5759.6685
102000 26.1380 5686.7822
103000 26.1816 5692.2544
104000 26.1771 5697.1001
105000 26.2257 5681.2905
106000 26.2610 5690.5503
107000 26.3567 5824.3853
108000 26.3384 5858.3491
109000 26.4926 5771.4771
110000 26.2731 5798.7480
111000 26.4326 5812.3491
112000 26.4714 5738.5298
113000 26.4407 5843.8569
114000 25.9780 5724.6157
115000 25.9477 5744.7852
116000 26.1092 5724.2256
117000 25.9151 5714.9224
118000 25.9516 5640.7734
119000 26.1364 5704.2188
120000 26.1082 5686.0029
